id;documento
1;"Eu não tinha este rosto de hoje,
Assim calmo, assim triste, assim magro,
Nem estes olhos tão vazios,
Nem o lábio amargo.

Eu não tinha estas mãos sem força,
Tão paradas e frias e mortas;
Eu não tinha este coração
Que nem se mostra.

Eu não dei por esta mudança,
Tão simples, tão certa, tão fácil:
- Em que espelho ficou perdida
A minha face?"
2;"Para ser grande, sê inteiro: nada
Teu exagera ou exclui.
Sê todo em cada coisa. Põe quanto és
No mínimo que fazes.
Assim em cada lago a lua toda
Brilha, porque alta vive."
3;"Eu sei que a gente se acostuma. Mas não devia.
A gente se acostuma a morar em apartamento de fundos 
e a não ter outra vista que não seja as janelas ao redor. 

E porque não tem vista, logo se acostuma a não olhar para fora.
E porque não olha para fora logo se acostuma a não abrir de todo as cortinas.
E porque não abre as cortinas logo se acostuma acender mais cedo a luz.
E a medida que se acostuma, esquece o sol, esquece o ar, esquece a amplidão.

A gente se acostuma a acordar de manhã sobressaltado porque está na hora.
A tomar café correndo porque está atrasado.
A ler jornal no ônibus porque não pode perder tempo da viagem.
A comer sanduíche porque não dá pra almoçar.
A sair do trabalho porque já é noite.
A cochilar no ônibus porque está cansado.
A deitar cedo e dormir pesado sem ter vivido o dia.

A gente se acostuma a abrir o jornal e a ler sobre a guerra.
E aceitando a guerra, aceita os mortos e que haja número para os mortos.
E aceitando os números aceita não acreditar nas negociações de paz,
aceita ler todo dia da guerra, dos números, da longa duração.

A gente se acostuma a esperar o dia inteiro e ouvir no telefone: hoje não posso ir.
A sorrir para as pessoas sem receber um sorriso de volta.
A ser ignorado quando precisava tanto ser visto.
A gente se acostuma a pagar por tudo o que deseja e o de que necessita.
A lutar para ganhar o dinheiro com que pagar.

E a ganhar menos do que precisa.
E a fazer filas para pagar.
E a pagar mais do que as coisas valem.
E a saber que cada vez pagará mais.
E a procurar mais trabalho, para ganhar mais dinheiro, para ter com que pagar nas filas que se cobra.

A gente se acostuma a andar na rua e a ver cartazes.
A abrir as revistas e a ver anúncios.
A ligar a televisão e a ver comerciais.
A ir ao cinema e engolir publicidade.
A ser instigado, conduzido, desnorteado, lançado na infindável catarata dos produtos.
A gente se acostuma à poluição.

As salas fechadas de ar condicionado e cheiro de cigarro.
A luz artificial de ligeiro tremor.
Ao choque que os olhos levam na luz natural.
Às bactérias da água potável.
A contaminação da água do mar.
A lenta morte dos rios.

Se acostuma a não ouvir o passarinho, a não ter galo de madrugada, a temer a hidrofobia dos cães,
a não colher fruta no pé, a não ter sequer uma planta.
A gente se acostuma a coisas demais para não sofrer.

Em doses pequenas, tentando não perceber, vai se afastando uma dor aqui,
um ressentimento ali, uma revolta acolá.
Se o cinema está cheio a gente senta na primeira fila e torce um pouco o pescoço.
Se a praia está contaminada a gente só molha os pés e sua no resto do corpo.

Se o trabalho está duro, a gente se consola pensando no fim de semana.
E se no fim de semana não há muito o que fazer a gente vai dormir cedo
e ainda fica satisfeito porque tem sempre sono atrasado.

A gente se acostuma para não se ralar na aspereza, para preservar a pele.
Se acostuma para evitar feridas, sangramentos, para esquivar-se
da faca e da baioneta, para poupar o peito.
A gente se acostuma para poupar a vida que aos poucos se gasta e, que gasta,
de tanto acostumar, se perde de si mesma.
"
4;"João amava Teresa que amava Raimundo
que amava Maria que amava Joaquim que amava Lili
que não amava ninguém.
João foi para os Estados Unidos, Teresa para o convento,
Raimundo morreu de desastre, Maria ficou pra tia,
Joaquim suicidou-se e Lili casou com J. Pinto Fernandes
que não tinha entrado na história."
5;"É urgente o amor.
É urgente um barco no mar.

É urgente destruir certas palavras,
ódio, solidão e crueldade,
alguns lamentos,
muitas espadas.

É urgente inventar alegria,
multiplicar os beijos, as searas,
é urgente descobrir rosas e rios
e manhãs claras.

Cai o silêncio nos ombros e a luz
impura, até doer.
É urgente o amor, é urgente
permanecer."
6;"Não precisa ser homem, basta ser humano, basta ter sentimentos, basta ter coração. Precisa saber falar e calar, sobretudo saber ouvir. Tem que gostar de poesia, de madrugada, de pássaro, de sol, da lua, do canto, dos ventos e das canções da brisa. Deve ter amor, um grande amor por alguém, ou então sentir falta de não ter esse amor.. Deve amar o próximo e respeitar a dor que os passantes levam consigo. Deve guardar segredo sem se sacrificar.

     Não é preciso que seja de primeira mão, nem é imprescindível que seja de segunda mão. Pode já ter sido enganado, pois todos os amigos são enganados. Não é preciso que seja puro, nem que seja todo impuro, mas não deve ser vulgar. Deve ter um ideal e medo de perdê-lo e, no caso de assim não ser, deve sentir o grande vácuo que isso deixa. Tem que ter ressonâncias humanas, seu principal objetivo deve ser o de amigo. Deve sentir pena das pessoa tristes e compreender o imenso vazio dos solitários. Deve gostar de crianças e lastimar as que não puderam nascer.

     Procura-se um amigo para gostar dos mesmos gostos, que se comova, quando chamado de amigo. Que saiba conversar de coisas simples, de orvalhos, de grandes chuvas e das recordações de infância. Precisa-se de um amigo para não se enlouquecer, para contar o que se viu de belo e triste durante o dia, dos anseios e das realizações, dos sonhos e da realidade. Deve gostar de ruas desertas, de poças de água e de caminhos molhados, de beira de estrada, de mato depois da chuva, de se deitar no capim.

     Precisa-se de um amigo que diga que vale a pena viver, não porque a vida é bela, mas porque já se tem um amigo. Precisa-se de um amigo para se parar de chorar. Para não se viver debruçado no passado em busca de memórias perdidas. Que nos bata nos ombros sorrindo ou chorando, mas que nos chame de amigo, para ter-se a consciência de que ainda se vive."
7;"Ó mar salgado, quanto do teu sal
São lágrimas de Portugal!
Por te cruzarmos, quantas mães choraram,
Quantos filhos em vão rezaram!
Quantas noivas ficaram por casar
Para que fosses nosso, ó mar! 

Valeu a pena? Tudo vale a pena
Se a alma não é pequena.
Quem quer passar além do Bojador
Tem que passar além da dor.
Deus ao mar o perigo e o abismo deu,
Mas nele é que espelhou o céu."
8;"Eu sei e você sabe
Já que a vida quis assim
Que nada nesse mundo levará você de mim
Eu sei e você sabe
Que a distância não existe
Que todo grande amor
Só é bem grande se for triste
Por isso meu amor
Não tenha medo de sofrer
Que todos os caminhos
Me encaminham a você.

Assim como o Oceano, só é belo com o luar
Assim como a Canção, só tem razão se se cantar
Assim como uma nuvem, só acontece se chover
Assim como o poeta, só é bem grande se sofrer
Assim como viver sem ter amor, não é viver
Não há você sem mim
E eu não existo sem você!"
9;"Como se ama o silêncio, a luz, o aroma,
O orvalho numa flor, nos céus a estrela,
No largo mar a sombra de uma vela,
Que lá na extrema do horizonte assoma;

Como se ama o clarão da branca lua,
Da noite na mudez os sons da flauta,
As canções saudosíssimas do nauta,
Quando em mole vaivém a nau flutua,

Como se ama das aves o gemido,
Da noite as sombras e do dia as cores,
Um céu com luzes, um jardim com flores,
Um canto quase em lágrimas sumido;

Como se ama o crepúsculo da aurora,
A mansa viração que o bosque ondeia,
O sussurro da fonte que serpeia,
Uma imagem risonha e sedutora;

Como se ama o calor e a luz querida,
A harmonia, o frescor, os sons, os céus,
Silêncio, e cores, e perfume, e vida,
Os pais e a pátria e a virtude e a Deus:

Assim eu te amo, assim; mais do que podem
Dizer-to os lábios meus, - mais do que vale
Cantar a voz do trovador cansada:
O que é belo, o que é justo, santo e grande
Amo em ti. - Por tudo quanto sofro,
Por quanto já sofri, por quanto ainda
Me resta de sofrer, por tudo eu te amo.
O que espero, cobiço, almejo, ou temo
De ti, só de ti pende: oh! nunca saibas
Com quanto amor eu te amo, e de que fonte
Tão terna, quanto amarga o vou nutrindo!
Esta oculta paixão, que mal suspeitas,
Que não vês, não supões, nem te eu revelo,
Só pode no silêncio achar consolo,
Na dor aumento, intérprete nas lágrimas.

De mim não saberás como te adoro;
Não te direi jamais,
Se te amo, e como, e a quanto extremo chega
Esta paixão voraz!

Se andas, sou o eco dos teus passos;
Da tua voz, se falas;
o murmúrio saudoso que responde
Ao suspiro que exalas.

No odor dos teus perfumes te procuro,
Tuas pegadas sigo;
Velo teus dias, te acompanho sempre,
E não me vês contigo!

Oculto e ignorado me desvelo
Por ti, que me não vês;
Aliso o teu caminho, esparjo flores,
Onde pisam teus pés.
Mesmo lendo estes versos, que m'inspiras,
- ""Não pensa em mim"", dirás:
Imagina-o, se o podes, que os meus lábios
Não to dirão jamais!

Sim, eu te amo; porém nunca
Saberás do meu amor;
A minha canção singela
Traiçoeira não revela
O prêmio santo que anela
O sofrer do trovador!

Sim, eu te amo; porém nunca
Dos lábios meus saberás,
Que é fundo como a desgraça,
Que o pranto não adelgaça,
Leve, qual sombra que passa,
Ou como um sonho fugaz!

Aos meus lábios, aos meus olhos
Do silêncio imponho a lei;
Mas lá onde a dor se esquece,
Onde a luz nunca falece,
Onde o prazer sempre cresce,
Lá saberás se te amei!

E então dirás: Objeto
Fui de santo e puro amor:
A sua canção singela;
Tudo agora me revela;
Já sei o prêmio que anela
O sofrer do trovador.

""Amou-me como se ama a luz querida,
Como se ama o silêncio, os sons, os céus,
Qual se amam cores e perfume e vida,
Os pais e a pátria, e a virtude e a Deus!""
"
10;João Gostoso era carregador de feira livre e morava no morro da Babilônia num barracão sem número Uma noite ele chegou no bar Vinte de Novembro Bebeu Cantou Dançou Depois se atirou na lagoa Rodrigo de Freitas e morreu afogado.
11;"Porque os outros se mascaram mas tu não
Porque os outros usam a virtude 
Para comprar o que não tem perdão. 
Porque os outros têm medo mas tu não. 
Porque os outros são os túmulos caiados
Onde germina calada a podridão.
Porque os outros se calam mas tu não.

Porque os outros se compram e se vendem
E os seus gestos dão sempre dividendo.
Porque os outros são hábeis mas tu não. 

Porque os outros vão à sombra dos abrigos
E tu vais de mãos dadas com os perigos. 
Porque os outros calculam mas tu não."
12;"De palavra em palavra
a noite sobe
aos ramos mais altos

e canta
o êxtase do dia."
13;"meu amor se esparrama na grama
Meu amor se esparrama na cama
meu amor se espreguiça
meu amor deita e rola no planeta.

"
14;"Houve um tempo em que minha janela se abria sobre uma cidade que parecia
ser feita de giz. Perto da janela havia um pequeno jardim quase seco.
Era uma época de estiagem, de terra esfarelada, e o jardim parecia morto.
Mas todas as manhãs vinha um pobre com um balde, e, em silêncio, ia atirando
com a mão umas gotas de água sobre as plantas. Não era uma rega: era uma
espécie de aspersão ritual, para que o jardim não morresse. E eu olhava para
as plantas, para o homem, para as gotas de água que caíam de seus dedos
magros e meu coração ficava completamente feliz.
Às vezes abro a janela e encontro o jasmineiro em flor. Outras vezes
encontro nuvens espessas. Avisto crianças que vão para a escola. Pardais que
pulam pelo muro. Gatos que abrem e fecham os olhos, sonhando com pardais.
Borboletas brancas, duas a duas, como refletidas no espelho do ar.
Marimbondos que sempre me parecem personagens de Lope de Vega. Ás vezes, um
galo canta. Às vezes, um avião passa. Tudo está certo, no seu lugar,
cumprindo o seu destino. E eu me sinto completamente feliz.
Mas, quando falo dessas pequenas felicidades certas, que estão diante de
cada janela, uns dizem que essas coisas não existem, outros que só existem
diante das minhas janelas, e outros, finalmente, que é preciso aprender a
olhar, para poder vê-las assim.

"
15;"Sei um ninho.
E o ninho tem um ovo.
E o ovo, redondinho,
Tem lá dentro um passarinho
Novo.

Mas escusam de me atentar:
Nem o tiro, nem o ensino.
Quero ser um bom menino
E guardar
Este segredo comigo.
E ter depois um amigo
Que faça o pino
A voar..."
16;"O que me tranquiliza 
é que tudo o que existe, 
existe com uma precisão absoluta. 
O que for do tamanho de uma cabeça de alfinete 
não transborda nem uma fração de milímetro 
além do tamanho de uma cabeça de alfinete. 
Tudo o que existe é de uma grande exatidão. 
Pena é que a maior parte do que existe 
com essa exatidão 
nos é tecnicamente invisível. 
O bom é que a verdade chega a nós 
como um sentido secreto das coisas. 
Nós terminamos adivinhando, confusos, 
a perfeição."
17;"(Ato Institucional Permanente)

A Carlos Heitor Cony


Artigo I.
Fica decretado que agora vale a verdade.
que agora vale a vida,
e que de mãos dadas,
trabalharemos todos pela vida verdadeira.

Artigo II.
Fica decretado que todos os dias da semana,
inclusive as terças-feiras mais cinzentas,
têm direito a converter-se em manhãs de domingo.

Artigo III.
Fica decretado que, a partir deste instante,
haverá girassóis em todas as janelas,
que os girassóis terão direito
a abrir-se dentro da sombra;
e que as janelas devem permanecer, o dia inteiro,
abertas para o verde onde cresce a esperança.

Artigo IV.
Fica decretado que o homem
não precisará nunca mais
duvidar do homem.
Que o homem confiará no homem
como a palmeira confia no vento,
como o vento confia no ar,
como o ar confia no campo azul do céu.

Parágrafo Único:
O homem confiará no homem
como um menino confia em outro menino.

Artigo V.
Fica decretado que os homens
estão livres do jugo da mentira.
Nunca mais será preciso usar
a couraça do silêncio
nem a armadura de palavras.
O homem se sentará à mesa
com seu olhar limpo
porque a verdade passará a ser servida
antes da sobremesa.

Artigo VI.
Fica estabelecida, durante dez séculos,
a prática sonhada pelo profeta Isaías,
e o lobo e o cordeiro pastarão juntos
e a comida de ambos terá o mesmo gosto de aurora.

Artigo VII.
Por decreto irrevogável fica estabelecido
o reinado permanente da justiça e da claridade,
e a alegria será uma bandeira generosa
para sempre desfraldada na alma do povo.

Artigo VIII.
Fica decretado que a maior dor
sempre foi e será sempre
não poder dar-se amor a quem se ama
e saber que é a água
que dá à planta o milagre da flor.

Artigo IX.
Fica permitido que o pão de cada dia
tenha no homem o sinal de seu suor.
Mas que sobretudo tenha sempre
o quente sabor da ternura.

Artigo X.
Fica permitido a qualquer pessoa,
a qualquer hora da vida,
o uso do traje branco.

Artigo XI.
Fica decretado, por definição,
que o homem é um animal que ama
e que por isso é belo.
muito mais belo que a estrela da manhã.

Artigo XII.
Decreta-se que nada será obrigado nem proibido.
tudo será permitido,
inclusive brincar com os rinocerontes
e caminhar pelas tardes
com uma imensa begônia na lapela.

Parágrafo único:
Só uma coisa fica proibida:
amar sem amor.

Artigo XIII.
Fica decretado que o dinheiro
não poderá nunca mais comprar
o sol das manhãs vindouras.
Expulso do grande baú do medo,
o dinheiro se transformará em uma espada fraternal
para defender o direito de cantar
e a festa do dia que chegou.

Artigo Final.
Fica proibido o uso da palavra liberdade.
a qual será suprimida dos dicionários
e do pântano enganoso das bocas.
A partir deste instante
a liberdade será algo vivo e transparente
como um fogo ou um rio,
e a sua morada será sempre
o coração do homem.


Santiago do Chile, abril de 1964

Publicado no livro Faz Escuro Mas Eu Canto: Porque a Manhã Vai Chegar (1965).

In: MELLO, Thiago de. Vento geral, 1951/1981: doze livros de poemas. 2.ed. Rio de Janeiro: Civilização Brasileira, 198"
18;"Tu tens um medo:
Acabar.
Não vês que acabas todo o dia.
Que morres no amor.
Na tristeza.
Na dúvida.
No desejo. 
Que te renovas todo o dia. 
No amor. 
Na tristeza.
Na dúvida.
No desejo.
Que és sempre outro.
Que és sempre o mesmo.
Que morrerás por idades imensas.
Até não teres medo de morrer.

E então serás eterno."
19;"Há homens que lutam um dia, e são bons;
Há outros que lutam um ano, e são melhores;
Há aqueles que lutam muitos anos, e são muito bons;
Porém há os que lutam toda a vida
Estes são os imprescindíveis"
20;"O mistério do mundo,
O íntimo, horroroso, desolado,
Verdadeiro mistério da existência,
Consiste em haver esse mistério. 
...

Não é a dor de já não poder crer
Que m’oprime, nem a de não saber,
Mas apenas completamente o horror
De ter visto o mistério frente a frente,
De tê-lo visto e compreendido em toda
A sua infinidade de mistério. 
...

Quanto mais fundamente penso, mais
Profundamente me descompreendo.
O saber é a inconsciência de ignorar... 

Só a inocência e a ignorância são
Felizes, mas não o sabem. São-no ou não?
Que é ser sem o saber? Ser, como a pedra,
Um lugar, nada mais. 
...

Quanto mais claro
Vejo em mim, mais escuro é o que vejo.
Quanto mais compreendo
Menos me sinto compreendido. Ó horror
paradoxal deste pensar... 
...

Alegres camponesas, raparigas alegres e ditosas,
Como me amarga n’alma essa alegria!"
21;"Minh’alma, de sonhar-te, anda perdida
Meus olhos andam cegos de te ver !
Não és sequer a razão do meu viver,
Pois que tu és já toda a minha vida !

Não vejo nada assim enlouquecida ...
Passo no mundo, meu Amor, a ler
No misterioso livro do teu ser
A mesma história tantas vezes lida !

""Tudo no mundo é frágil, tudo passa ...""
Quando me dizem isto, toda a graça
Duma boca divina fala em mim !

E, olhos postos em ti, digo de rastros :
""Ah ! Podem voar mundos, morrer astros,
Que tu és como Deus : Princípio e Fim ! ...""
"
22;"Meu Deus, me dê a coragem
de viver trezentos e sessenta e cinco dias e noites,
todos vazios de Tua presença.
Me dê a coragem de considerar esse vazio
como uma plenitude.
Faça com que eu seja a Tua amante humilde,
entrelaçada a Ti em êxtase.
Faça com que eu possa falar
com este vazio tremendo
e receber como resposta
o amor materno que nutre e embala.
Faça com que eu tenha a coragem de Te amar,
sem odiar as Tuas ofensas à minha alma e ao meu corpo.
Faça com que a solidão não me destrua.
Faça com que minha solidão me sirva de companhia.
Faça com que eu tenha a coragem de me enfrentar.
Faça com que eu saiba ficar com o nada
e mesmo assim me sentir
como se estivesse plena de tudo.
Receba em teus braços
o meu pecado de pensar."
23;"Os amantes se amam cruelmente
e com se amarem tanto não se vêem.
Um se beija no outro, refletido.
Dois amantes que são? Dois inimigos.

Amantes são meninos estragados
pelo mimo de amar: e não percebem
quanto se pulverizam no enlaçar-se,
e como o que era mundo volve a nada.

Nada. Ninguém. Amor, puro fantasma
que os passeia de leve, assim a cobra
se imprime na lembrança de seu trilho.

E eles quedam mordidos para sempre.
deixaram de existir, mas o existido
continua a doer eternamente. 
"
24;"Pus o meu sonho num navio 
e o navio em cima do mar; 
- depois, abri o mar com as mãos, 
para o meu sonho naufragar 

Minhas mãos ainda estão molhadas 
do azul das ondas entreabertas, 
e a cor que escorre de meus dedos 
colore as areias desertas. 

O vento vem vindo de longe, 
a noite se curva de frio; 
debaixo da água vai morrendo 
meu sonho, dentro de um navio... 

Chorarei quanto for preciso, 
para fazer com que o mar cresça, 
e o meu navio chegue ao fundo 
e o meu sonho desapareça. 

Depois, tudo estará perfeito; 
praia lisa, águas ordenadas, 
meus olhos secos como pedras 
e as minhas duas mãos quebradas."
25;"Terror de te amar num sítio tão frágil como o mundo

Mal de te amar neste lugar de imperfeição
Onde tudo nos quebra e emudece
Onde tudo nos mente e nos separa"
26;"Meu Senhor, tende piedade dos que andam de bonde
E sonham no longo percurso com automóveis, apartamentos...
Mas tende piedade também dos que andam de automóvel
Quantos enfrentam a cidade movediça de sonâmbulos, na direção.

Tende piedade das pequenas famílias suburbanas
E em particular dos adolescentes que se embebedam de domingos
Mas tende mais piedade ainda de dois elegantes que passam
E sem saber inventam a doutrina do pão e da guilhotina

Tende muita piedade do mocinho franzino, três cruzes, poeta
Que só tem de seu as costeletas e a namorada pequenina 
Mas tende mais piedade ainda do impávido forte colosso do esporte
E que se encaminha lutando, remando, nadando para a morte.

Tende imensa piedade dos músicos de cafés e de casas de chá
Que são virtuoses da própria tristeza e solidão
Mas tende piedade também dos que buscam o silêncio
E súbito se abate sobre eles uma ária da Tosca.

Não esqueçais também em vossa piedade os pobres que enriqueceram
E para quem o suicídio ainda é a mais doce solução
Mas tende realmente piedade dos ricos que empobreceram
E tornam-se heróicos e à santa pobreza dão um ar de grandeza.

Tende infinita piedade dos vendedores de passarinhos
Quem em suas alminhas claras deixam a lágrima e a incompreensão
E tende piedade também, menor embora, dos vendedores de balcão
Que amam as freguesas e saem de noite, quem sabe onde vão...

Tende piedade dos barbeiros em geral, e dos cabeleireiros
Que se efeminam por profissão mas são humildes nas suas carícias
Mas tende maior piedade ainda dos que cortam o cabelo:
Que espera, que angústia, que indigno, meu Deus!

Tende piedade dos sapateiros e caixeiros de sapataria
Quem lembram madalenas arrependidas pedindo piedade pelos sapatos
Mas lembrai-vos também dos que se calçam de novo
Nada pior que um sapato apertado, Senhor Deus.

Tende piedade dos homens úteis como os dentistas
Que sofrem de utilidade e vivem para fazer sofrer
Mas tente mais piedade dos veterinários e práticos de farmácia
Que muito eles gostariam de ser médicos, Senhor.

Tende piedade dos homens públicos e em particular dos políticos
Pela sua fala fácil, olhar brilhante e segurança dos gestos de mão
Mas tende mais piedade ainda dos seus criados, próximos e parentes
Fazei, Senhor, com que deles não saiam políticos também.

E no longo capítulo das mulheres, Senhor, tenha piedade das mulheres
Castigai minha alma, mas tende piedade das mulheres
Enlouquecei meu espírito, mas tende piedade das mulheres
Ulcerai minha carne, mas tende piedade das mulheres!

Tende piedade da moça feia que serve na vida
De casa, comida e roupa lavada da moça bonita
Mas tende mais piedade ainda da moça bonita
Que o homem molesta — que o homem não presta, não presta, meu Deus!

Tende piedade das moças pequenas das ruas transversais
Que de apoio na vida só têm Santa Janela da Consolação
E sonham exaltadas nos quartos humildes
Os olhos perdidos e o seio na mão.

Tende piedade da mulher no primeiro coito
Onde se cria a primeira alegria da Criação
E onde se consuma a tragédia dos anjos
E onde a morte encontra a vida em desintegração.

Tende piedade da mulher no instante do parto
Onde ela é como a água explodindo em convulsão
Onde ela é como a terra vomitando cólera
Onde ela é como a lua parindo desilusão.

Tende piedade das mulheres chamadas desquitadas
Porque nelas se refaz misteriosamente a virgindade
Mas tende piedade também das mulheres casadas
Que se sacrificam e se simplificam a troco de nada.

Tende piedade, Senhor, das mulheres chamadas vagabundas
Que são desgraçadas e são exploradas e são infecundas
Mas que vendem barato muito instante de esquecimento
E em paga o homem mata com a navalha, com o fogo, com o veneno. 

Tende piedade, Senhor, das primeiras namoradas
De corpo hermético e coração patético
Que saem à rua felizes mas que sempre entram desgraçadas
Que se crêem vestidas mas que em verdade vivem nuas.

Tende piedade, Senhor, de todas as mulheres
Que ninguém mais merece tanto amor e amizade
Que ninguém mais deseja tanto poesia e sinceridade
Que ninguém mais precisa tanto alegria e serenidade.

Tende infinita piedade delas, Senhor, que são puras
Que são crianças e são trágicas e são belas
Que caminham ao sopro dos ventos e que pecam 
E que têm a única emoção da vida nelas.

Tende piedade delas, Senhor, que uma me disse 
Ter piedade de si mesma e da sua louca mocidade
E outra, à simples emoção do amor piedoso
Delirava e se desfazia em gozos de amor de carne. 

Tende piedade delas, Senhor, que dentro delas
A vida fere mais fundo e mais fecundo
E o sexo está nelas, e o mundo está nelas
E a loucura reside nesse mundo.

Tende piedade, Senhor, das santas mulheres
Dos meninos velhos, dos homens humilhados — sede enfim
Piedoso com todos, que tudo merece piedade
E se piedade vos sobrar, Senhor, tende piedade de mim!"
